2025-12-31 08:14:58 - INFO - PRINT: WELCOME TO THE EXPERIMENT: 25_12_31_08:14:58_pet_pika_nearwall_boxfilter_4x_sr
2025-12-31 08:14:58 - INFO - PRINT: Using seed: 42
2025-12-31 08:14:59 - INFO - PRINT: Model param count: 1791238
2025-12-31 08:14:59 - INFO - PRINT: Getting timesteps available for channel_nearwall_filtered_fs4 in /home/rmcconke/orcd/scratch/numpy_4000
2025-12-31 08:14:59 - INFO - PRINT: Number of timesteps available: 4000
2025-12-31 08:14:59 - INFO - PRINT: Number of train samples: 1500
2025-12-31 08:14:59 - INFO - PRINT: Number of val samples: 800
2025-12-31 08:15:45 - INFO - PRINT: Epoch [   0], Train Loss: 0.5394, Validation Loss: 0.3044
2025-12-31 08:15:45 - INFO - PRINT: ----> Saving model from epoch 0 (val loss: 0.3043575096130371). Fragrant!
2025-12-31 08:16:11 - INFO - PRINT: Epoch [   1], Train Loss: 0.2737, Validation Loss: 0.3044
2025-12-31 08:16:38 - INFO - PRINT: Epoch [   2], Train Loss: 0.2462, Validation Loss: 0.3044
2025-12-31 08:17:05 - INFO - PRINT: Epoch [   3], Train Loss: 0.2403, Validation Loss: 0.3044
2025-12-31 08:17:31 - INFO - PRINT: Epoch [   4], Train Loss: 0.2283, Validation Loss: 0.3044
2025-12-31 08:17:58 - INFO - PRINT: Epoch [   5], Train Loss: 0.2150, Validation Loss: 0.3044
2025-12-31 08:18:25 - INFO - PRINT: Epoch [   6], Train Loss: 0.2031, Validation Loss: 0.3044
2025-12-31 08:18:52 - INFO - PRINT: Epoch [   7], Train Loss: 0.1977, Validation Loss: 0.3044
2025-12-31 08:19:18 - INFO - PRINT: Epoch [   8], Train Loss: 0.1889, Validation Loss: 0.3044
2025-12-31 08:19:45 - INFO - PRINT: Epoch [   9], Train Loss: 0.1857, Validation Loss: 0.3044
2025-12-31 08:20:12 - INFO - PRINT: Epoch [  10], Train Loss: 0.1829, Validation Loss: 0.3044
2025-12-31 08:20:39 - INFO - PRINT: Epoch [  11], Train Loss: 0.1816, Validation Loss: 0.3044
2025-12-31 08:21:05 - INFO - PRINT: Epoch [  12], Train Loss: 0.1735, Validation Loss: 0.3044
2025-12-31 08:21:32 - INFO - PRINT: Epoch [  13], Train Loss: 0.1758, Validation Loss: 0.3044
2025-12-31 08:21:59 - INFO - PRINT: Epoch [  14], Train Loss: 0.1698, Validation Loss: 0.3044
2025-12-31 08:22:26 - INFO - PRINT: Epoch [  15], Train Loss: 0.1681, Validation Loss: 0.3044
2025-12-31 08:22:52 - INFO - PRINT: Epoch [  16], Train Loss: 0.1691, Validation Loss: 0.3044
2025-12-31 08:23:19 - INFO - PRINT: Epoch [  17], Train Loss: 0.1662, Validation Loss: 0.3044
2025-12-31 08:23:46 - INFO - PRINT: Epoch [  18], Train Loss: 0.1657, Validation Loss: 0.3044
2025-12-31 08:24:13 - INFO - PRINT: Epoch [  19], Train Loss: 0.1639, Validation Loss: 0.3044
2025-12-31 08:24:44 - INFO - PRINT: Epoch [  20], Train Loss: 0.1618, Validation Loss: 0.1525
2025-12-31 08:25:10 - INFO - PRINT: Epoch [  21], Train Loss: 0.1589, Validation Loss: 0.1525
2025-12-31 08:25:37 - INFO - PRINT: Epoch [  22], Train Loss: 0.1573, Validation Loss: 0.1525
2025-12-31 08:26:04 - INFO - PRINT: Epoch [  23], Train Loss: 0.1574, Validation Loss: 0.1525
2025-12-31 08:26:30 - INFO - PRINT: Epoch [  24], Train Loss: 0.1565, Validation Loss: 0.1525
2025-12-31 08:26:57 - INFO - PRINT: Epoch [  25], Train Loss: 0.1546, Validation Loss: 0.1525
2025-12-31 08:27:24 - INFO - PRINT: Epoch [  26], Train Loss: 0.1526, Validation Loss: 0.1525
2025-12-31 08:27:51 - INFO - PRINT: Epoch [  27], Train Loss: 0.1545, Validation Loss: 0.1525
2025-12-31 08:28:17 - INFO - PRINT: Epoch [  28], Train Loss: 0.1549, Validation Loss: 0.1525
2025-12-31 08:28:44 - INFO - PRINT: Epoch [  29], Train Loss: 0.1514, Validation Loss: 0.1525
2025-12-31 08:29:11 - INFO - PRINT: Epoch [  30], Train Loss: 0.1496, Validation Loss: 0.1525
2025-12-31 08:29:38 - INFO - PRINT: Epoch [  31], Train Loss: 0.1537, Validation Loss: 0.1525
2025-12-31 08:30:04 - INFO - PRINT: Epoch [  32], Train Loss: 0.1509, Validation Loss: 0.1525
2025-12-31 08:30:31 - INFO - PRINT: Epoch [  33], Train Loss: 0.1500, Validation Loss: 0.1525
2025-12-31 08:30:58 - INFO - PRINT: Epoch [  34], Train Loss: 0.1486, Validation Loss: 0.1525
2025-12-31 08:31:25 - INFO - PRINT: Epoch [  35], Train Loss: 0.1476, Validation Loss: 0.1525
2025-12-31 08:31:51 - INFO - PRINT: Epoch [  36], Train Loss: 0.1470, Validation Loss: 0.1525
2025-12-31 08:32:18 - INFO - PRINT: Epoch [  37], Train Loss: 0.1468, Validation Loss: 0.1525
2025-12-31 08:32:45 - INFO - PRINT: Epoch [  38], Train Loss: 0.1466, Validation Loss: 0.1525
2025-12-31 08:33:12 - INFO - PRINT: Epoch [  39], Train Loss: 0.1452, Validation Loss: 0.1525
2025-12-31 08:33:43 - INFO - PRINT: Epoch [  40], Train Loss: 0.1461, Validation Loss: 0.1424
2025-12-31 08:34:09 - INFO - PRINT: Epoch [  41], Train Loss: 0.1419, Validation Loss: 0.1424
2025-12-31 08:34:36 - INFO - PRINT: Epoch [  42], Train Loss: 0.1423, Validation Loss: 0.1424
2025-12-31 08:35:03 - INFO - PRINT: Epoch [  43], Train Loss: 0.1427, Validation Loss: 0.1424
2025-12-31 08:35:29 - INFO - PRINT: Epoch [  44], Train Loss: 0.1456, Validation Loss: 0.1424
2025-12-31 08:35:56 - INFO - PRINT: Epoch [  45], Train Loss: 0.1453, Validation Loss: 0.1424
